Ref,Val,Package,PosX,PosY,Side
F1,0.15,Disp,1.55,-31.0,top
F2,0.15,Disp,1.85,-31.0,top
F3,0.15,Disp,2.15,-31.0,top
F4,0.15,Disp,2.45,-31.0,top
F5,0.15,Disp,2.75,-31.0,top
F6,0.15,Disp,3.05,-31.0,top
F7,0.15,Disp,3.35,-31.0,top
F8,0.15,Disp,3.65,-31.0,top
F9,0.15,Disp,3.95,-31.0,top
F10,0.15,Disp,4.25,-31.0,top
F11,0.15,Disp,4.55,-31.0,top
F12,0.15,Disp,31.45,-31.0,top
F13,0.15,Disp,31.75,-31.0,top
F14,0.15,Disp,32.05,-31.0,top
F15,0.15,Disp,32.35,-31.0,top
F16,0.15,Disp,32.65,-31.0,top
F17,0.15,Disp,32.95,-31.0,top
F18,0.15,Disp,33.25,-31.0,top
F19,0.15,Disp,33.55,-31.0,top
F20,0.15,Disp,33.85,-31.0,top
F21,0.15,Disp,34.15,-31.0,top
F22,0.15,Disp,34.45,-31.0,top
F23,0.15,Disp,1.25,-30.7,top
F24,0.15,Disp,1.55,-30.7,top
F25,0.15,Disp,1.85,-30.7,top
F26,0.15,Disp,2.15,-30.7,top
F27,0.15,Disp,2.45,-30.7,top
F28,0.15,Disp,2.75,-30.7,top
F29,0.15,Disp,3.05,-30.7,top
F30,0.15,Disp,3.35,-30.7,top
F31,0.15,Disp,3.65,-30.7,top
F32,0.15,Disp,3.95,-30.7,top
F33,0.15,Disp,4.25,-30.7,top
F34,0.15,Disp,4.55,-30.7,top
F35,0.15,Disp,4.85,-30.7,top
F36,0.15,Disp,31.15,-30.7,top
F37,0.15,Disp,31.45,-30.7,top
F38,0.15,Disp,31.75,-30.7,top
F39,0.15,Disp,32.05,-30.7,top
F40,0.15,Disp,32.35,-30.7,top
F41,0.15,Disp,32.65,-30.7,top
F42,0.15,Disp,32.95,-30.7,top
F43,0.15,Disp,33.25,-30.7,top
F44,0.15,Disp,33.55,-30.7,top
F45,0.15,Disp,33.85,-30.7,top
F46,0.15,Disp,34.15,-30.7,top
F47,0.15,Disp,34.45,-30.7,top
F48,0.15,Disp,34.75,-30.7,top
F49,0.15,Disp,0.95,-30.4,top
F50,0.15,Disp,1.25,-30.4,top
F51,0.15,Disp,1.55,-30.4,top
F52,0.15,Disp,1.85,-30.4,top
F53,0.15,Disp,2.15,-30.4,top
F54,0.15,Disp,2.45,-30.4,top
F55,0.15,Disp,2.75,-30.4,top
F56,0.15,Disp,3.05,-30.4,top
F57,0.15,Disp,3.35,-30.4,top
F58,0.15,Disp,3.65,-30.4,top
F59,0.15,Disp,3.95,-30.4,top
F60,0.15,Disp,4.25,-30.4,top
F61,0.15,Disp,4.55,-30.4,top
F62,0.15,Disp,4.85,-30.4,top
F63,0.15,Disp,5.15,-30.4,top
F64,0.15,Disp,30.85,-30.4,top
F65,0.15,Disp,31.15,-30.4,top
F66,0.15,Disp,31.45,-30.4,top
F67,0.15,Disp,31.75,-30.4,top
F68,0.15,Disp,32.05,-30.4,top
F69,0.15,Disp,32.35,-30.4,top
